field                                                                   type     sum            min                  max                                 min_length  max_length  mean                    stddev                median     mode                                           cardinality
USER_ID                                                                 Integer  1160282012273  155857               996959061                           6           9           220585933.8922053       259493651.4795228     105281173  105512209                                      4844
visitorstatus                                                           Unicode                 particular postpago  particular prepago                  18          19                                                                   particular postpago                            2
prepaid_postpaid                                                        Unicode                 particular postpago  prepago                             7           19                                                                   particular postpago                            2
purchasedpackages                                                       Unicode                 no paquete           paquete                             3           10                                                                   one                                            3
loginprofile                                                            Unicode                 completo             ligero                              6           8                                                                    completo                                       2
clientdebt                                                              Unicode                 False                True                                4           5                                                                    False                                          2
navigationspeed                                                         Unicode                 False                True                                4           5                                                                    True                                           2
ERROR                                                                   Unicode                 False                True                                4           5                                                                    True                                           2
abonos:sin abonos                                                       Integer  994            0                    1                                   1           1           0.18897338403041813     0.39148747637505565   0          0                                              2
averias:averias                                                         Integer  1143           0                    1                                   1           1           0.21730038022813666     0.4124086868396967    0          0                                              2
avisos:desactivar wifi                                                  Integer  1              0                    1                                   1           1           0.0001901140684410642   0.013786875102141365  0          0                                              2
avisos:detalle de factura                                               Integer  55             0                    1                                   1           1           0.01045627376425857     0.10171991006300322   0          0                                              2
avisos:flujo autodiagnostico                                            Integer  2              0                    1                                   1           1           0.0003802281368821305   0.01949573192896463   0          0                                              2
avisos:ko                                                               Integer  31             0                    1                                   1           1           0.005893536121673014    0.07654281386031965   0          0                                              2
avisos:mis productos                                                    Integer  125            0                    1                                   1           1           0.02376425855513306     0.15231388173918345   0          0                                              2
avisos:nacional                                                         Integer  6              0                    1                                   1           1           0.001140684410646388    0.033754751513256555  0          0                                              2
avisos:ok                                                               Integer  2              0                    1                                   1           1           0.0003802281368821282   0.019495731928964668  0          0                                              2
avisos:pedidos en curso                                                 Integer  6              0                    1                                   1           1           0.0011406844106463877   0.033754751513256645  0          0                                              2
avisos:producto contratado                                              Integer  1              0                    1                                   1           1           0.00019011406844106414  0.013786875102141365  0          0                                              2
avisos:resumen                                                          Integer  2              0                    1                                   1           1           0.0003802281368821299   0.019495731928964668  0          0                                              2
avisos:upgrade                                                          Integer  10             0                    1                                   1           1           0.001901140684410646    0.043560605465359746  0          0                                              2
avisos:upgrade perfil                                                   Integer  16             0                    1                                   1           1           0.0030418250950570366   0.05506879692846147   0          0                                              2
bienvenida:detalle de factura                                           Integer  2              0                    1                                   1           1           0.0003802281368821287   0.019495731928964668  0          0                                              2
bienvenida:ko                                                           Integer  2              0                    1                                   1           1           0.00038022813688212925  0.01949573192896463   0          0                                              2
confirmacion direccion correo:confirmar pdf2mail                        Integer  99             0                    1                                   1           1           0.018821292775665393    0.13589353080230915   0          0                                              2
consentimiento permisos:ok                                              Integer  10             0                    1                                   1           1           0.001901140684410648    0.043560605465359746  0          0                                              2
consigue una nueva clave:bienvenido vamos a iniciar el cambio de clave  Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
